"ID";"EnergySourcesAndTechniques";"EnergyApplication";"Periods";"FinalConsumption_1";"FinalConsumptionRelative_2"
"137";"E007210 ";"E007022 ";"1991JJ00";"22528";"1.16"
"138";"E007210 ";"E007022 ";"1992JJ00";"23188";"1.21"
"139";"E007210 ";"E007022 ";"1993JJ00";"23930";"1.2"
"140";"E007210 ";"E007022 ";"1994JJ00";"24303";"1.24"
"141";"E007210 ";"E007022 ";"1995JJ00";"25459";"1.25"
"142";"E007210 ";"E007022 ";"1996JJ00";"27993";"1.27"
"143";"E007210 ";"E007022 ";"1997JJ00";"30871";"1.46"
"144";"E007210 ";"E007022 ";"1998JJ00";"31932";"1.51"
"145";"E007210 ";"E007022 ";"1999JJ00";"33301";"1.6"
"146";"E007210 ";"E007022 ";"2000JJ00";"34689";"1.62"
"147";"E007210 ";"E007022 ";"2001JJ00";"36562";"1.68"
"148";"E007210 ";"E007022 ";"2002JJ00";"40076";"1.85"
"149";"E007210 ";"E007022 ";"2003JJ00";"40600";"1.84"
"150";"E007210 ";"E007022 ";"2004JJ00";"47422";"2.04"
"151";"E007210 ";"E007022 ";"2005JJ00";"57143";"2.48"
"152";"E007210 ";"E007022 ";"2006JJ00";"63478";"2.78"
"153";"E007210 ";"E007022 ";"2007JJ00";"74123";"3.3"
"154";"E007210 ";"E007022 ";"2008JJ00";"82081";"3.6"
"155";"E007210 ";"E007022 ";"2009JJ00";"93660";"4.27"
"156";"E007210 ";"E007022 ";"2010JJ00";"92411";"3.92"
"157";"E007210 ";"E007022 ";"2011JJ00";"99256";"4.53"
"158";"E007210 ";"E007022 ";"2012JJ00";"102676";"4.66"
"159";"E007210 ";"E007022 ";"2013JJ00";"103463";"4.69"
"160";"E007210 ";"E007022 ";"2014JJ00";"108835";"5.42"
"161";"E007210 ";"E007022 ";"2015JJ00";"117192";"5.73"
"162";"E007210 ";"E007022 ";"2016JJ00";"122177";"5.84"
"163";"E007210 ";"E007022 ";"2017JJ00";"136815";"6.5"
"164";"E007210 ";"E007022 ";"2018JJ00";"156304";"7.39"
"165";"E007210 ";"E007022 ";"2019JJ00";"184632";"8.89"
"166";"E007210 ";"E007022 ";"2020JJ00";"272155";"14"
"167";"E007210 ";"E007022 ";"2021JJ00";"259671";"12.96"
"168";"E007210 ";"E007022 ";"2022JJ00";"275716";"14.9"
